#,Event,Date,Venue,Location,Attendance,url
070,UFC 59: Reality Check,2006-04-15,Arrowhead Pond of Anaheim,"Anaheim, California, U.S.","13,814",https://en.wikipedia.org/wiki/UFC_59
069,UFC Ultimate Fight Night 4,2006-04-06,Hard Rock Hotel and Casino,"Las Vegas, Nevada, U.S.",843,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_4
068,UFC 58: USA vs. Canada,2006-03-04,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","9,569",https://en.wikipedia.org/wiki/UFC_58
067,UFC 57: Liddell vs. Couture 3,2006-02-04,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,659",https://en.wikipedia.org/wiki/UFC_57
066,UFC Ultimate Fight Night 3,2006-01-16,Hard Rock Hotel and Casino,"Las Vegas, Nevada, U.S.","1,008",https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_3
065,UFC 56: Full Force,2005-11-19,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","12,000",https://en.wikipedia.org/wiki/UFC_56
064,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,Hard Rock Hotel and Casino,"Las Vegas, Nevada, U.S.",N/A,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_2_Finale
063,UFC 55: Fury,2005-10-07,Mohegan Sun Arena,"Uncasville, Connecticut, U.S.","8,000",https://en.wikipedia.org/wiki/UFC_55
062,UFC Ultimate Fight Night 2,2005-10-03,Hard Rock Hotel and Casino,"Las Vegas, Nevada, U.S.",N/A,https://en.wikipedia.org/wiki/UFC_Ultimate_Fight_Night_2
061,UFC 54: Boiling Point,2005-08-20,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","13,520",https://en.wikipedia.org/wiki/UFC_54
060,UFC Ultimate Fight Night,2005-08-06,Cox Pavilion,"Las Vegas, Nevada, U.S.",N/A,
059,UFC 53: Heavy Hitters,2005-06-04,Boardwalk Hall,"Atlantic City, New Jersey, U.S.","12,000",https://en.wikipedia.org/wiki/UFC_53
058,UFC 52: Couture vs. Liddell,2005-04-16,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","14,562",https://en.wikipedia.org/wiki/UFC_52
057,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Cox Pavilion,"Las Vegas, Nevada, U.S.",N/A,https://en.wikipedia.org/wiki/The_Ultimate_Fighter_1_Finale
056,UFC 51: Super Saturday,2005-02-05,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","11,072",https://en.wikipedia.org/wiki/UFC_51
055,UFC 50: The War of '04,2004-10-22,Boardwalk Hall,"Atlantic City, New Jersey, U.S.","9,000",https://en.wikipedia.org/wiki/UFC_50
054,UFC 49: Unfinished Business,2004-08-21,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","12,100",https://en.wikipedia.org/wiki/UFC_49
053,UFC 48: Payback,2004-06-19,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,000",https://en.wikipedia.org/wiki/UFC_48
052,UFC 47: It's On!,2004-04-02,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","11,437",https://en.wikipedia.org/wiki/UFC_47
051,UFC 46: Supernatural,2004-01-31,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,700",https://en.wikipedia.org/wiki/UFC_46
050,UFC 45: Revolution,2003-11-21,Mohegan Sun Arena,"Uncasville, Connecticut, U.S.","9,200",https://en.wikipedia.org/wiki/UFC_45
049,UFC 44: Undisputed,2003-09-26,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,400",https://en.wikipedia.org/wiki/UFC_44
048,UFC 43: Meltdown,2003-06-06,Thomas & Mack Center,"Las Vegas, Nevada, U.S.","9,800",https://en.wikipedia.org/wiki/UFC_43
047,UFC 42: Sudden Impact,2003-04-25,AmericanAirlines Arena,"Miami, Florida, U.S.","7,500",https://en.wikipedia.org/wiki/UFC_42
046,UFC 41: Onslaught,2003-02-28,Boardwalk Hall,"Atlantic City, New Jersey, U.S.","11,707",https://en.wikipedia.org/wiki/UFC_41
045,UFC 40: Vendetta,2002-11-22,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","13,770",https://en.wikipedia.org/wiki/UFC_40
044,UFC 39: The Warriors Return,2002-09-27,Mohegan Sun Arena,"Uncasville, Connecticut, U.S.","7,800",https://en.wikipedia.org/wiki/UFC_39
043,UFC 38: Brawl at the Hall,2002-07-13,Royal Albert Hall,"London, England, U.K.","5,000",https://en.wikipedia.org/wiki/UFC_38
042,UFC 37.5: As Real As It Gets,2002-06-22,Bellagio,"Las Vegas, Nevada, U.S.","3,700",https://en.wikipedia.org/wiki/UFC_37.5
041,UFC 37: High Impact,2002-05-10,CenturyTel Center,"Bossier City, Louisiana, U.S.","7,200",https://en.wikipedia.org/wiki/UFC_37
040,UFC 36: Worlds Collide,2002-03-22,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","10,000",https://en.wikipedia.org/wiki/UFC_36
039,UFC 35: Throwdown,2002-01-11,Mohegan Sun Arena,"Uncasville, Connecticut, U.S.","9,600",https://en.wikipedia.org/wiki/UFC_35
038,UFC 34: High Voltage,2001-11-02,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","9,000",https://en.wikipedia.org/wiki/UFC_34
037,UFC 33: Victory in Vegas,2001-09-28,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","9,500",https://en.wikipedia.org/wiki/UFC_33
036,UFC 32: Showdown in the Meadowlands,2001-06-29,Continental Airlines Arena,"East Rutherford, New Jersey, U.S.","12,500",https://en.wikipedia.org/wiki/UFC_32
035,UFC 31: Locked and Loaded,2001-05-04,Trump Taj Mahal,"Atlantic City, New Jersey, U.S.",N/A,https://en.wikipedia.org/wiki/UFC_31
034,UFC 30: Battle on the Boardwalk,2001-02-23,Trump Taj Mahal,"Atlantic City, New Jersey, U.S.","3,000",https://en.wikipedia.org/wiki/UFC_30
033,UFC 29: Defense of the Belts,2000-12-16,Differ Ariake Arena,"Tokyo, Japan","1,414",https://en.wikipedia.org/wiki/UFC_29
032,UFC 28: High Stakes,2000-11-17,Trump Taj Mahal,"Atlantic City, New Jersey, U.S.",N/A,https://en.wikipedia.org/wiki/UFC_28
031,UFC 27: Ultimate Bad Boyz,2000-09-22,Lakefront Arena,"New Orleans, Louisiana, U.S.",N/A,https://en.wikipedia.org/wiki/UFC_27
030,UFC 26: Ultimate Field of Dreams,2000-06-09,Five Seasons Events Center,"Cedar Rapids, Iowa, U.S.","1,100",https://en.wikipedia.org/wiki/UFC_26
029,UFC 25: Ultimate Japan 3,2000-04-14,Yoyogi National Gymnasium,"Tokyo, Japan",N/A,https://en.wikipedia.org/wiki/UFC_25
028,UFC 24: First Defense,2000-03-10,Lake Charles Civic Center,"Lake Charles, Louisiana, U.S.",N/A,https://en.wikipedia.org/wiki/UFC_24
027,UFC 23: Ultimate Japan 2,1999-11-19,Tokyo Bay NK Hall,"Chiba, Japan",N/A,https://en.wikipedia.org/wiki/UFC_23
026,UFC 22: Only One Can be Champion,1999-09-24,Lake Charles Civic Center,"Lake Charles, Louisiana, U.S.",N/A,https://en.wikipedia.org/wiki/UFC_22
025,UFC 21: Return of the Champions,1999-07-16,Five Seasons Events Center,"Cedar Rapids, Iowa, U.S.",N/A,https://en.wikipedia.org/wiki/UFC_21
024,UFC 20: Battle for the Gold,1999-05-07,Boutwell Memorial Auditorium,"Birmingham, Alabama, U.S.",N/A,https://en.wikipedia.org/wiki/UFC_20
023,UFC 19: Ultimate Young Guns,1999-03-05,Casino Magic Bay St. Louis,"Bay St. Louis, Mississippi, U.S.",N/A,https://en.wikipedia.org/wiki/UFC_19
022,UFC 18: The Road to the Heavyweight Title,1999-01-08,Pontchartrain Center,"New Orleans, Louisiana, U.S.",N/A,https://en.wikipedia.org/wiki/UFC_18
021,UFC Brazil: Ultimate Brazil,1998-10-16,Ginásio da Portuguesa,"São Paulo, Brazil",N/A,https://en.wikipedia.org/wiki/UFC_Brazil
020,UFC 17: Redemption,1998-05-15,Mobile Civic Center,"Mobile, Alabama, U.S.",N/A,https://en.wikipedia.org/wiki/UFC_17
019,UFC 16: Battle in the Bayou,1998-03-13,Pontchartrain Center,"New Orleans, Louisiana, U.S.","4,600",https://en.wikipedia.org/wiki/UFC_16
018,UFC Japan: Ultimate Japan,1997-12-21,Yokohama Arena,"Yokohama, Japan","5,000",https://en.wikipedia.org/wiki/UFC_Japan:_Ultimate_Japan
017,UFC 15: Collision Course,1997-10-17,Casino Magic Bay St. Louis,"Bay St. Louis, Mississippi, U.S.",N/A,https://en.wikipedia.org/wiki/UFC_15
016,UFC 14: Showdown,1997-07-27,Boutwell Memorial Auditorium,"Birmingham, Alabama, U.S.","5,000",https://en.wikipedia.org/wiki/UFC_14
015,UFC 13: The Ultimate Force,1997-05-30,Augusta Civic Center,"Augusta, Georgia, U.S.","5,100",https://en.wikipedia.org/wiki/UFC_13
014,UFC 12: Judgement Day,1997-02-07,Dothan Civic Center,"Dothan, Alabama, U.S.","3,100",https://en.wikipedia.org/wiki/UFC_12
013,UFC: The Ultimate Ultimate 2,1996-12-07,Fair Park Arena,"Birmingham, Alabama, U.S.","6,000",https://en.wikipedia.org/wiki/Ultimate_Ultimate_1996
012,UFC 11: The Proving Ground,1996-09-20,Augusta Civic Center,"Augusta, Georgia, U.S.","4,500",https://en.wikipedia.org/wiki/UFC_11
011,UFC 10: The Tournament,1996-07-12,Fair Park Arena,"Birmingham, Alabama, U.S.","4,300",https://en.wikipedia.org/wiki/UFC_10
010,UFC 9: Motor City Madness,1996-05-17,Cobo Arena,"Detroit, Michigan, U.S.","10,000",https://en.wikipedia.org/wiki/UFC_9
009,UFC 8: David vs. Goliath,1996-02-16,Coliseo Rubén Rodríguez,"Bayamón, Puerto Rico","13,000",https://en.wikipedia.org/wiki/UFC_8
008,UFC: The Ultimate Ultimate,1995-12-16,Mammoth Gardens,"Denver, Colorado, U.S.","2,800",https://en.wikipedia.org/wiki/Ultimate_Ultimate_1995
007,UFC 7: The Brawl in Buffalo,1995-09-08,Buffalo Memorial Auditorium,"Buffalo, New York, U.S.","9,000",https://en.wikipedia.org/wiki/UFC_7
006,UFC 6: Clash of the Titans,1995-07-14,Casper Events Center,"Casper, Wyoming, U.S.","2,700",https://en.wikipedia.org/wiki/UFC_6
005,UFC 5: The Return of the Beast,1995-04-07,Independence Arena,"Charlotte, North Carolina, U.S.","6,000",https://en.wikipedia.org/wiki/UFC_5
004,UFC 4: Revenge of the Warriors,1994-12-16,Expo Square Pavilion,"Tulsa, Oklahoma, U.S.","5,857",https://en.wikipedia.org/wiki/UFC_4
003,UFC 3: The American Dream,1994-09-09,Grady Cole Center,"Charlotte, North Carolina, U.S.",N/A,https://en.wikipedia.org/wiki/UFC_3
002,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,"Denver, Colorado, U.S.","2,000",https://en.wikipedia.org/wiki/UFC_2
001,UFC 1: The Beginning,1993-11-12,McNichols Sports Arena,"Denver, Colorado, U.S.","7,800",https://en.wikipedia.org/wiki/UFC_1
