#,Event,Date,Venue,Location,Attendance,url,fight_odds_url
459,The Ultimate Fighter: Heavy Hitters Finale,2018-11-30,Pearl Theatre,"Las Vegas, Nevada, U.S.","2,020",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Heavy_Hitters#The_Ultimate_Fighter_28_Finale,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
458,UFC Fight Night: Blaydes vs. Ngannou 2,2018-11-24,Cadillac Arena,"Beijing, China","10,302",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._Ngannou_2,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
457,UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,Estadio Mary Terán de Weiss,"Buenos Aires, Argentina","10,245",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Magny_vs._Ponzinibbio,https://www.bestfightodds.com/events/ufc-fight-night-140-magny-vs-ponzinibbio-1578
456,UFC Fight Night: The Korean Zombie vs. Rodríguez,2018-11-10,Pepsi Center,"Denver, Colorado, U.S.","11,426",https://en.wikipedia.org/wiki/UFC_Fight_Night:_The_Korean_Zombie_vs._Rodr%C3%ADguez,https://www.bestfightodds.com/events/ufc-fight-night-139-korean-zombie-vs-rodriguez-1559
455,UFC 230: Cormier vs. Lewis,2018-11-03,Madison Square Garden,"New York City, New York, U.S.","17,011",https://en.wikipedia.org/wiki/UFC_230,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
454,UFC Fight Night: Volkan vs. Smith,2018-10-27,Avenir Centre,"Moncton, New Brunswick, Canada","6,282",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Volkan_vs._Smith,https://www.bestfightodds.com/events/ufc-fight-night-138-volkan-vs-smith-1564
453,UFC 229: Khabib vs. McGregor,2018-10-06,T-Mobile Arena,"Las Vegas, Nevada, U.S","20,034",https://en.wikipedia.org/wiki/UFC_229,https://www.bestfightodds.com/events/ufc-229-nurmagomedov-vs-mcgregor-1566
452,UFC Fight Night: Santos vs. Anders,2018-09-22,Ginásio do Ibirapuera,"São Paulo, Brazil","9,485",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Santos_vs._Anders,https://www.bestfightodds.com/events/ufc-fight-night-137-santos-vs-anders-1544
451,UFC Fight Night: Hunt vs. Oleinik,2018-09-15,Olimpiyskiy Stadium,"Moscow, Russia","22,603",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hunt_vs._Oleinik,https://www.bestfightodds.com/events/ufc-fight-night-136-hunt-vs-oleinik-1539
450,UFC 228: Woodley vs. Till,2018-09-08,American Airlines Center,"Dallas, Texas, U.S.","14,073",https://en.wikipedia.org/wiki/UFC_228,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
449,UFC Fight Night: Gaethje vs. Vick,2018-08-25,Pinnacle Bank Arena,"Lincoln, Nebraska, U.S.","6,409",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gaethje_vs._Vick,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
448,UFC 227: Dillashaw vs. Garbrandt 2,2018-08-04,Staples Center,"Los Angeles, California, U.S.","17,794",https://en.wikipedia.org/wiki/UFC_227,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
447,UFC on Fox: Alvarez vs. Poirier 2,2018-07-28,Scotiabank Saddledome,"Calgary, Alberta, Canada","10,603",https://en.wikipedia.org/wiki/UFC_on_Fox:_Alvarez_vs._Poirier_2,https://www.bestfightodds.com/events/ufc-on-fox-30-alvarez-vs-poirier-2-1502
446,UFC Fight Night: Shogun vs. Smith,2018-07-22,Barclaycard Arena,"Hamburg, Germany","7,798",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shogun_vs._Smith,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
445,UFC Fight Night: dos Santos vs. Ivanov,2018-07-14,CenturyLink Arena,"Boise, Idaho, U.S.","5,648",https://en.wikipedia.org/wiki/UFC_Fight_Night:_dos_Santos_vs._Ivanov,https://www.bestfightodds.com/events/ufc-fight-night-133-dos-santos-vs-ivanov-1504
444,UFC 226: Miocic vs. Cormier,2018-07-07,T-Mobile Arena,"Las Vegas, Nevada, U.S","17,464",https://en.wikipedia.org/wiki/UFC_226,https://www.bestfightodds.com/events/ufc-226-miocic-vs-cormier-1447
443,The Ultimate Fighter: Undefeated Finale,2018-07-06,Palms Casino Resort,"Las Vegas, Nevada, U.S.","2,123",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Undefeated#The_Ultimate_Fighter_27_Finale,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
442,UFC Fight Night: Cowboy vs. Edwards,2018-06-23,Singapore Indoor Stadium,"Kallang, Singapore","6,419",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cowboy_vs._Edwards,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
441,UFC 225: Whittaker vs. Romero 2,2018-06-09,United Center,"Chicago, Illinois, U.S.","18,117",https://en.wikipedia.org/wiki/UFC_225,https://www.bestfightodds.com/events/ufc-225-whittaker-vs-romero-2-1459
440,UFC Fight Night: Rivera vs. Moraes,2018-06-01,Adirondack Bank Center,"Utica, New York, U.S.","5,063",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rivera_vs._Moraes,https://www.bestfightodds.com/events/ufc-fight-night-131-rivera-vs-moraes-1467
439,UFC Fight Night: Thompson vs. Till,2018-05-27,Echo Arena,"Liverpool, England, U.K.","8,520",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Thompson_vs._Till,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
438,UFC Fight Night: Maia vs. Usman,2018-05-19,Movistar Arena,"Santiago, Chile","11,082",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maia_vs._Usman,https://www.bestfightodds.com/events/ufc-fight-night-129-maia-vs-usman-1468
437,UFC 224: Nunes vs. Pennington,2018-05-12,Jeunesse Arena,"Rio de Janeiro, Brazil","10,696",https://en.wikipedia.org/wiki/UFC_224,https://www.bestfightodds.com/events/ufc-224-nunes-vs-pennington-1453
436,UFC Fight Night: Barboza vs. Lee,2018-04-21,Boardwalk Hall,"Atlantic City, New Jersey, U.S.","9,541",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Barboza_vs._Lee,https://www.bestfightodds.com/events/ufc-fight-night-128-barboza-vs-lee-1455
435,UFC on Fox: Poirier vs. Gaethje,2018-04-14,Gila River Arena,"Glendale, Arizona, U.S.","11,382",https://en.wikipedia.org/wiki/UFC_on_Fox:_Poirier_vs._Gaethje,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
434,UFC 223: Khabib vs. Iaquinta,2018-04-07,Barclays Center,"Brooklyn, New York, U.S.","17,026",https://en.wikipedia.org/wiki/UFC_223,https://www.bestfightodds.com/events/ufc-223-nurmagomedov-vs-iaquinta-1444
433,UFC Fight Night: Werdum vs. Volkov,2018-03-17,The O2 Arena,"London, England, U.K.","16,274",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Werdum_vs._Volkov,https://www.bestfightodds.com/events/ufc-fight-night-127-werdum-vs-volkov-1423
432,UFC 222: Cyborg vs. Kunitskaya,2018-03-03,T-Mobile Arena,"Las Vegas, Nevada, U.S.","12,041",https://en.wikipedia.org/wiki/UFC_222,https://www.bestfightodds.com/events/ufc-222-cyborg-vs-kunitskaya-1422
431,UFC on Fox: Emmett vs. Stephens,2018-02-24,Amway Center,"Orlando, Florida, U.S.","10,124",https://en.wikipedia.org/wiki/UFC_on_Fox:_Emmett_vs._Stephens,https://www.bestfightodds.com/events/ufc-on-fox-28-stephens-vs-emmett-1425
430,UFC Fight Night: Cowboy vs. Medeiros,2018-02-18,Frank Erwin Center,"Austin, Texas, U.S.","10,502",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cowboy_vs._Medeiros,https://www.bestfightodds.com/events/ufc-fight-night-126-cerrone-vs-medeiros-1412
